   6.28318548       7.50490108E-06   5.99211262E-06           3   5.91489925E-06   7.98903693E-06
   8.88576603       1.99161805E-05   1.69482519E-05           5   9.51276252E-06   2.25964068E-05
   10.8827963       2.05197066E-05   3.11359290E-05           4   1.15842322E-05   4.15122522E-05
   12.5663710       3.06702786E-05   4.79369010E-05           3   9.53089329E-06   6.39122954E-05
   14.0496311       7.28760861E-05   6.69938818E-05          10   2.52424052E-05   8.93201868E-05
   15.3905983       1.32946763E-04   8.80657244E-05          12   3.60098020E-05   1.17414398E-04
   17.7715321       2.02774303E-04   1.35586015E-04           5   1.02367296E-04   1.80771254E-04
   18.8495560       2.63558002E-04   1.61787044E-04          15   6.96987918E-05   2.15704000E-04
   19.8691769       2.25579366E-04   1.89487240E-04          10   5.02732000E-05   2.52635538E-04
   20.8389683       1.63932549E-04   2.18609450E-04          12   4.47464809E-05   2.91462988E-04
   21.7655926       1.07669992E-04   2.49087432E-04           4   6.29394126E-05   3.32098018E-04
   22.6543465       2.88788870E-04   2.80863256E-04          10   7.32099070E-05   3.74463416E-04
   23.5095272       6.12271426E-04   3.13886034E-04          24   1.24486396E-04   4.18491312E-04
   25.1327419       5.44291630E-04   3.83495208E-04           3   9.10419039E-05   5.11298364E-04
   26.2336216       6.83650898E-04   4.36129136E-04          39   1.07698652E-04   5.81472996E-04
   27.3877697       5.81107452E-04   4.96261171E-04          12   1.48672028E-04   6.61644619E-04
   28.5890808       6.90525514E-04   5.64469956E-04          34   1.24459926E-04   7.52584543E-04
   29.4707508       9.86196217E-04   6.18320832E-04          12   1.92994150E-04   8.24381656E-04
   31.1112556       8.62788700E-04   7.27432896E-04          25   1.85411205E-04   9.69856279E-04
   32.2333832       1.21988100E-03   8.09017685E-04          50   1.62031240E-04   1.07862998E-03
   34.0753403       1.30970182E-03   9.55786556E-04          58   1.95616449E-04   1.27431087E-03
   35.5430641       9.48051631E-04   1.08468812E-03           5   1.42302801E-04   1.44617003E-03
   36.6342354       1.27599784E-03   1.18768634E-03          70   1.79599709E-04   1.58349331E-03
   38.3940239       2.08702567E-03   1.36719749E-03          61   3.28176160E-04   1.82282808E-03
   40.3166122       1.83084141E-03   1.58304186E-03          80   1.75593348E-04   2.11060443E-03
   41.8554611       2.14859308E-03   1.77131861E-03          58   3.15687445E-04   2.36162613E-03
   43.3526917       2.97670229E-03   1.96828740E-03          55   3.82742932E-04   2.62423651E-03
   45.3819160       2.70793494E-03   2.25781719E-03         155   2.36155043E-04   3.01025459E-03
   47.3354950       2.75092712E-03   2.56212940E-03          58   3.31472198E-04   3.41598154E-03
   48.9887238       4.22764895E-03   2.84006773E-03         118   3.53588519E-04   3.78654525E-03
   51.3677788       4.35469579E-03   3.27425683E-03         177   3.20530962E-04   4.36543161E-03
   53.7418289       4.79282625E-03   3.74953635E-03         149   3.67939734E-04   4.99910209E-03
   55.8878174       5.68324188E-03   4.21688473E-03         167   4.09082859E-04   5.62219881E-03
   58.3514290       5.85446227E-03   4.79948660E-03         222   3.81923310E-04   6.39895769E-03
   60.5009613       7.61720538E-03   5.34967100E-03         188   5.57744235E-04   7.13249622E-03
   63.2204056       8.42390582E-03   6.10396685E-03         290   5.07263874E-04   8.13816767E-03
   65.9144516       8.90999380E-03   6.91802660E-03         286   5.04817290E-04   9.22351982E-03
   68.5586319       1.03193102E-02   7.78442854E-03         297   6.16052770E-04   1.03786578E-02
   71.5089493       1.08537236E-02   8.83327052E-03         429   4.88351972E-04   1.17770359E-02
   74.8173065       1.35383233E-02   1.01168798E-02         429   6.79469842E-04   1.34884194E-02
   77.6716766       1.55783128E-02   1.13195293E-02         436   7.53510627E-04   1.50918625E-02
   81.1264038       1.57908630E-02   1.28981378E-02         608   6.57333469E-04   1.71965566E-02
   84.5518341       1.86452009E-02   1.46019040E-02         590   7.34760659E-04   1.94681175E-02
   88.1575851       2.19758414E-02   1.65508147E-02         718   7.60625117E-04   2.20665205E-02
   91.8803558       2.42804810E-02   1.87373590E-02         818   8.02010822E-04   2.49817483E-02
   95.8411560       2.80335695E-02   2.12665219E-02         906   8.96713405E-04   2.83537786E-02
   99.8555756       3.18539701E-02   2.40523349E-02        1011   1.01244461E-03   3.20679881E-02
   104.149239       3.54710817E-02   2.72903163E-02        1234   1.01564522E-03   3.63850556E-02
   108.644135       4.10122126E-02   3.09784114E-02        1300   1.09001913E-03   4.13022414E-02
   113.058342       4.71526906E-02   3.49098630E-02        1399   1.25875254E-03   4.65438850E-02
   117.813347       5.14312126E-02   3.95024307E-02        1778   1.20906602E-03   5.26669621E-02
   122.940071       5.84935807E-02   4.48870100E-02        1951   1.30139338E-03   5.98459989E-02
   128.129089       6.98168352E-02   5.08140214E-02        2139   1.53590401E-03   6.77482411E-02
   133.625381       7.66475201E-02   5.76377735E-02        2584   1.50635175E-03   7.68460706E-02
