#           k/h    P           
    0.42098E-02    0.15310E+05
    0.42948E-02    0.15530E+05
    0.43816E-02    0.15752E+05
    0.44701E-02    0.15975E+05
    0.45604E-02    0.16200E+05
    0.46525E-02    0.16425E+05
    0.47465E-02    0.16652E+05
    0.48424E-02    0.16880E+05
    0.49402E-02    0.17109E+05
    0.50400E-02    0.17339E+05
    0.51419E-02    0.17570E+05
    0.52457E-02    0.17802E+05
    0.53517E-02    0.18034E+05
    0.54598E-02    0.18266E+05
    0.55701E-02    0.18500E+05
    0.56826E-02    0.18733E+05
    0.57974E-02    0.18967E+05
    0.59145E-02    0.19200E+05
    0.60340E-02    0.19434E+05
    0.61559E-02    0.19668E+05
    0.62803E-02    0.19901E+05
    0.64072E-02    0.20134E+05
    0.65366E-02    0.20367E+05
    0.66686E-02    0.20599E+05
    0.68033E-02    0.20829E+05
    0.69408E-02    0.21059E+05
    0.70810E-02    0.21288E+05
    0.72240E-02    0.21516E+05
    0.73700E-02    0.21742E+05
    0.75189E-02    0.21966E+05
    0.76708E-02    0.22189E+05
    0.78257E-02    0.22410E+05
    0.79838E-02    0.22628E+05
    0.81451E-02    0.22844E+05
    0.83096E-02    0.23058E+05
    0.84775E-02    0.23269E+05
    0.86488E-02    0.23477E+05
    0.88235E-02    0.23681E+05
    0.90017E-02    0.23883E+05
    0.91836E-02    0.24080E+05
    0.93691E-02    0.24274E+05
    0.95583E-02    0.24464E+05
    0.97514E-02    0.24649E+05
    0.99484E-02    0.24830E+05
    0.10149E-01    0.25006E+05
    0.10354E-01    0.25177E+05
    0.10564E-01    0.25343E+05
    0.10777E-01    0.25503E+05
    0.10995E-01    0.25657E+05
    0.11217E-01    0.25806E+05
    0.11443E-01    0.25948E+05
    0.11675E-01    0.26083E+05
    0.11910E-01    0.26211E+05
    0.12151E-01    0.26333E+05
    0.12397E-01    0.26446E+05
    0.12647E-01    0.26552E+05
    0.12902E-01    0.26650E+05
    0.13163E-01    0.26740E+05
    0.13429E-01    0.26821E+05
    0.13700E-01    0.26894E+05
    0.13977E-01    0.26957E+05
    0.14259E-01    0.27011E+05
    0.14547E-01    0.27055E+05
    0.14841E-01    0.27089E+05
    0.15141E-01    0.27112E+05
    0.15447E-01    0.27126E+05
    0.15759E-01    0.27128E+05
    0.16077E-01    0.27120E+05
    0.16402E-01    0.27100E+05
    0.16734E-01    0.27069E+05
    0.17072E-01    0.27026E+05
    0.17416E-01    0.26972E+05
    0.17768E-01    0.26905E+05
    0.18127E-01    0.26826E+05
    0.18493E-01    0.26735E+05
    0.18867E-01    0.26631E+05
    0.19248E-01    0.26514E+05
    0.19637E-01    0.26385E+05
    0.20034E-01    0.26243E+05
    0.20438E-01    0.26088E+05
    0.20851E-01    0.25920E+05
    0.21272E-01    0.25740E+05
    0.21702E-01    0.25547E+05
    0.22141E-01    0.25341E+05
    0.22588E-01    0.25122E+05
    0.23044E-01    0.24891E+05
    0.23510E-01    0.24648E+05
    0.23985E-01    0.24394E+05
    0.24469E-01    0.24127E+05
    0.24964E-01    0.23849E+05
    0.25468E-01    0.23561E+05
    0.25982E-01    0.23262E+05
