   1.00000034E-05   1.80341813E-05   1.14048062E-05   1.06489110       1.07437445E-05   1.76235626E-05   1.20411287E-05  0.978868008    
   1.04618393E-05   1.88449103E-05   1.19175111E-05   1.06423831       1.12333064E-05   1.84199944E-05   1.25968227E-05  0.978818178    
   1.09450039E-05   1.96921228E-05   1.24532871E-05   1.06358576       1.17451873E-05   1.92523439E-05   1.31782199E-05  0.978771448    
   1.14504837E-05   2.05773849E-05   1.30131266E-05   1.06293285       1.22803704E-05   2.01222683E-05   1.37864254E-05  0.978722095    
   1.19792967E-05   2.15024429E-05   1.35981327E-05   1.06228006       1.28399643E-05   2.10314192E-05   1.44226833E-05  0.978671432    
   1.25325432E-05   2.24690866E-05   1.42094377E-05   1.06162751       1.34250195E-05   2.19815829E-05   1.50883589E-05  0.978622258    
   1.31113402E-05   2.34792315E-05   1.48482532E-05   1.06097448       1.40367729E-05   2.29746092E-05   1.57847990E-05  0.978574514    
   1.37168690E-05   2.45346964E-05   1.55157286E-05   1.06032217       1.46763750E-05   2.40124500E-05   1.65133806E-05  0.978525043    
   1.43503630E-05   2.56376570E-05   1.62132401E-05   1.05966938       1.53451510E-05   2.50971261E-05   1.72755954E-05  0.978474915    
   1.50131145E-05   2.67902506E-05   1.69421401E-05   1.05901635       1.60444015E-05   2.62306967E-05   1.80730531E-05  0.978426576    
   1.57064733E-05   2.79946089E-05   1.77037746E-05   1.05836380       1.67755152E-05   2.74154172E-05   1.89073107E-05  0.978376627    
   1.64318553E-05   2.92531113E-05   1.84996516E-05   1.05771101       1.75399273E-05   2.86512950E-05   1.97800946E-05  0.978325844    
   1.71907195E-05   3.05681860E-05   1.93313044E-05   1.05705845       1.83391548E-05   2.99455423E-05   2.06931945E-05  0.978275955    
   1.79846484E-05   3.19424144E-05   2.02003648E-05   1.05640554       1.91748350E-05   3.12981647E-05   2.16484750E-05  0.978225231    
   1.88152444E-05   3.33783864E-05   2.11084734E-05   1.05575275       2.00485792E-05   3.27117268E-05   2.26479297E-05  0.978175879    
   1.96841993E-05   3.48789181E-05   2.20574075E-05   1.05510008       2.09621758E-05   3.41890009E-05   2.36935557E-05  0.978126168    
   2.05932865E-05   3.64469706E-05   2.30490441E-05   1.05444729       2.19173617E-05   3.57328572E-05   2.47874759E-05  0.978075504    
   2.15443579E-05   3.80853780E-05   2.40851714E-05   1.05379486       2.29160523E-05   3.73463154E-05   2.59319677E-05  0.978025854    
   2.25393524E-05   3.97975855E-05   2.51679703E-05   1.05314207       2.39602487E-05   3.90324822E-05   2.71293120E-05  0.977974653    
   2.35802781E-05   4.15866089E-05   2.62993490E-05   1.05248928       2.50520498E-05   4.07946609E-05   2.83819918E-05  0.977924168    
   2.46692998E-05   4.34562244E-05   2.74816921E-05   1.05183661       2.61935766E-05   4.26362749E-05   2.96925755E-05  0.977872789    
   2.58086166E-05   4.54098008E-05   2.87171333E-05   1.05118370       2.73871683E-05   4.45608966E-05   3.10637624E-05  0.977822244    
   2.70005494E-05   4.74512053E-05   3.00081156E-05   1.05053115       2.86351515E-05   4.65723060E-05   3.24983303E-05  0.977771401    
   2.82475321E-05   4.95844724E-05   3.13571909E-05   1.04987836       2.99400035E-05   4.86743229E-05   3.39991930E-05  0.977719724    
   2.95521040E-05   5.18135494E-05   3.27668604E-05   1.04922545       3.13042838E-05   5.08711200E-05   3.55694719E-05  0.977668583    
   3.09169263E-05   5.41428308E-05   3.42398962E-05   1.04857290       3.27307644E-05   5.31669066E-05   3.72123723E-05  0.977617681    
   3.23447784E-05   5.65769369E-05   3.57792233E-05   1.04791999       3.42222447E-05   5.55661973E-05   3.89311972E-05  0.977565408    
   3.38385762E-05   5.91203607E-05   3.73876828E-05   1.04726732       3.57816534E-05   5.80694432E-05   4.07295520E-05  0.977514207    
   3.54013282E-05   6.17781188E-05   3.90684472E-05   1.04661453       3.74121228E-05   6.06902613E-05   4.26110419E-05  0.977462709    
   3.70362905E-05   6.45552427E-05   4.08246997E-05   1.04596198       3.91168105E-05   6.34291209E-05   4.45795922E-05  0.977410913    
   3.87467589E-05   6.74574549E-05   4.26600564E-05   1.04530942       4.08992928E-05   6.62913953E-05   4.66391757E-05  0.977358222    
   4.05362225E-05   7.04899430E-05   4.45777987E-05   1.04465652       4.27630002E-05   6.92824979E-05   4.87940924E-05  0.977306604    
   4.24083300E-05   7.36588991E-05   4.65818448E-05   1.04400384       4.47115017E-05   7.24083584E-05   5.10486680E-05  0.977253795    
   4.43668978E-05   7.69703911E-05   4.86760327E-05   1.04335105       4.67489663E-05   7.56749578E-05   5.34076134E-05  0.977201641    
   4.64159202E-05   8.04305237E-05   5.08642188E-05   1.04269826       4.88791848E-05   7.90886988E-05   5.58757092E-05  0.977149069    
   4.85595265E-05   8.40462890E-05   5.31508267E-05   1.04204559       5.11064245E-05   8.26561227E-05   5.84579975E-05  0.977096558    
   5.08021767E-05   8.78246792E-05   5.55402767E-05   1.04139280       5.34352475E-05   8.63842070E-05   6.11598443E-05  0.977043688    
   5.31484038E-05   9.17728466E-05   5.80370979E-05   1.04074025       5.58701395E-05   9.02802785E-05   6.39868158E-05  0.976990998    
   5.56029881E-05   9.58985984E-05   6.06462199E-05   1.04008734       5.84160953E-05   9.43517880E-05   6.69446454E-05  0.976937950    
   5.81709319E-05   1.00209822E-04   6.33726377E-05   1.03943443       6.10779534E-05   9.86066443E-05   7.00394448E-05  0.976884961    
   6.08574737E-05   1.04714571E-04   6.62214370E-05   1.03878212       6.38609781E-05   1.03053077E-04   7.32775443E-05  0.976831555    
