   9.99999902E-05   2.19709372E-11   8.22378190E-12
   1.05567262E-04   2.72279786E-11   1.01915074E-11
   1.11444482E-04   3.37428141E-11   1.26300281E-11
   1.17649011E-04   4.18164912E-11   1.56520283E-11
   1.24198850E-04   5.18216199E-11   1.93969753E-11
   1.31113353E-04   6.42204345E-11   2.40378845E-11
   1.38412914E-04   7.95857269E-11   2.97891573E-11
   1.46118749E-04   9.86265930E-11   3.69162062E-11
   1.54253576E-04   1.22222385E-10   4.57481726E-11
   1.62841301E-04   1.51462620E-10   5.66928761E-11
   1.71907115E-04   1.87697136E-10   7.02555514E-11
   1.81477837E-04   2.32599592E-10   8.70626626E-11
   1.91581203E-04   2.88240820E-10   1.07889329E-10
   2.02247058E-04   3.57189778E-10   1.33697109E-10
   2.13506704E-04   4.42627851E-10   1.65676819E-10
   2.25393422E-04   5.48499357E-10   2.05304815E-10
   2.37941698E-04   6.79684753E-10   2.54407856E-10
   2.51188554E-04   8.42236114E-10   3.15251297E-10
   2.65172916E-04   1.04364994E-09   3.90641047E-10
   2.79936095E-04   1.29321709E-09   4.84054685E-10
   2.95520906E-04   1.60243241E-09   5.99794825E-10
   3.11973359E-04   1.98554861E-09   7.43196282E-10
   3.29341769E-04   2.46021603E-09   9.20865606E-10
   3.47677298E-04   3.04829961E-09   1.14098686E-09
   3.67033645E-04   3.77687215E-09   1.41369361E-09
   3.87467415E-04   4.67945149E-09   1.75153159E-09
   4.09038970E-04   5.79757264E-09   2.17004725E-09
   4.31811495E-04   7.18263982E-09   2.68848188E-09
   4.55851638E-04   8.89828566E-09   3.33065264E-09
   4.81230149E-04   1.10233200E-08   4.12605905E-09
   5.08021796E-04   1.36552991E-08   5.11121589E-09
   5.36304782E-04   1.69149068E-08   6.33129593E-09
   5.66162576E-04   2.09515889E-08   7.84223708E-09
   5.97682432E-04   2.59501398E-08   9.71320890E-09
   6.30957366E-04   3.21393543E-08   1.20298482E-08
   6.66084467E-04   3.98019893E-08   1.48979939E-08
   7.03167578E-04   4.92880972E-08   1.84486701E-08
   7.42314849E-04   6.10300503E-08   2.28437163E-08
   7.83641532E-04   7.55627383E-08   2.82833401E-08
   8.27269803E-04   9.35474489E-08   3.50150664E-08
   8.73326149E-04   1.15800241E-07   4.33443468E-08
   9.21946659E-04   1.43330254E-07   5.36489075E-08
   9.73274407E-04   1.77383498E-07   6.63951312E-08
   1.02745928E-03   2.19497394E-07   8.21584791E-08
   1.08466123E-03   2.71570514E-07   1.01649590E-07
   1.14504737E-03   3.35943582E-07   1.25744606E-07
   1.20879523E-03   4.15503422E-07   1.55524077E-07
   1.27609284E-03   5.13810221E-07   1.92320570E-07
   1.34713703E-03   6.35247090E-07   2.37774728E-07
   1.42213586E-03   7.85211625E-07   2.93906879E-07
   1.50131003E-03   9.70349220E-07   3.63204379E-07
   1.58489367E-03   1.19883737E-06   4.48728116E-07
   1.67312904E-03   1.48071524E-06   5.54235783E-07
   1.76627678E-03   1.82832991E-06   6.84348890E-07
   1.86461105E-03   2.25683834E-06   8.44740782E-07
   1.96841918E-03   2.78482662E-06   1.04236824E-06
   2.07800744E-03   3.43509168E-06   1.28576426E-06
   2.19369587E-03   4.23553911E-06   1.58537387E-06
   2.31582485E-03   5.22033906E-06   1.95398729E-06
   2.44475435E-03   6.43127487E-06   2.40724376E-06
   2.58086179E-03   7.91937146E-06   2.96424241E-06
   2.72454531E-03   9.74688464E-06   3.64828566E-06
   2.87622842E-03   1.19897559E-05   4.48779838E-06
